Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing,Type
"3 BHK Flat for Sale in Siddha Serena, Siddha Serena, Rajarhat, Kolkata",Kolkata,Rajarhat,3,10300000,,885.0,11697.0,Unfurnished,buy
"3 BHK Flat for Sale in PS Jade Grove, PS Jade Grove, Entally, Kolkata",Kolkata,Entally,3,11500000,,850.0,13529.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Ambuja Urvisha The Condoville, Ambuja Urvisha The Condoville, Action Area 1, Kolkata",Kolkata,Action Area 1,2,15000000,,900.0,16667.0,Unfurnished,buy
"4 BHK Flat for Sale in Siddha Serena, Siddha Serena, Rajarhat, Kolkata",Kolkata,Rajarhat,4,15900000,,1415.0,11237.0,Unfurnished,buy
"4 BHK Flat for Sale in Orbit Urban Park, Orbit Urban Park, New Town, Kolkata",Kolkata,New Town,4,26000000,,1980.0,13132.0,Unfurnished,buy
"2 BHK Flat for Sale in Adross Radharani Housing Complex, Adross Radharani Housing Complex, Basunagar, Kolkata",Kolkata,Basunagar,2,3800000,,635.0,5979.0,Unfurnished,buy
"3 BHK Flat for Sale in Vinayak, Vinayak, Action Area 1, Kolkata",Kolkata,Action Area 1,3,19000000,,1200.0,15833.0,Unfurnished,buy
"3 BHK Flat for Sale in GODREJ BLUE, GODREJ BLUE, New Alipore, Kolkata",Kolkata,New Alipore,3,23000000,,1510.0,15231.0,Unfurnished,buy
"5 BHK Flat for Sale in A N Atreyaa, A N Atreyaa, Lake Town, Kolkata",Kolkata,Lake Town,5,38100000,,3779.0,10100.0,Unfurnished,buy
"3 BHK Flat for Sale in ANANDI VISTA, ANANDI VISTA, Rajarhat, Kolkata",Kolkata,Rajarhat,3,6610000,,1539.0,4292.0,Unfurnished,buy
"3 BHK Flat for Sale in Bhawani Inara, Bhawani Inara, Action Area 2, Kolkata",Kolkata,Action Area 2,3,15800000,,1550.0,10194.0,Unfurnished,buy
"3 BHK Flat for Sale in Merlin Avana, Merlin Avana, Tollygunge, Kolkata",Kolkata,Tollygunge,3,11500000,,798.0,14411.0,Unfurnished,buy
"2 BHK Flat for Sale in DTC Rajarhat, DTC Rajarhat, Rajarhat, Kolkata",Kolkata,Rajarhat,2,5000000,,682.0,7331.0,Unfurnished,buy
"4 BHK Flat for Sale in PS Vaanya, PS Vaanya, Action Area 2, Kolkata",Kolkata,Action Area 2,4,36200000,,1969.0,18385.0,Unfurnished,buy
"3 BHK Flat for Sale in Ballygunge, Kolkata",Kolkata,Ballygunge,3,29000000,,1700.0,17059.0,Unfurnished,buy
"3 BHK Flat for Sale in Vinayak Vista, Vinayak Vista, Lake Town, Kolkata",Kolkata,Lake Town,3,15500000,,1590.0,9748.0,Unfurnished,buy
"2 BHK Flat for Sale in Bhawani Bandhan, Bhawani Bandhan, Madhyamgram, Kolkata",Kolkata,Madhyamgram,2,5300000,,660.0,8030.0,Unfurnished,buy
"3 BHK Flat for Sale in Sugam Morya Phase 2, Sugam Morya Phase 2, Tollygunge, Kolkata",Kolkata,Tollygunge,3,16400000,,1529.0,10726.0,Unfurnished,buy
"4 BHK Villa for Sale in Forum Legacy, Action Area 2 Kolkata",Kolkata,Action Area 2,4,39000000,,2492.0,15650.0,Unfurnished,buy
"3 BHK Flat for Sale in Ambuja Utalika The Condoville, Ambuja Utalika The Condoville, Mukundapur, Kolkata",Kolkata,Mukundapur,3,31000000,,2152.0,14405.0,Unfurnished,buy
"3 BHK Flat for Sale in Santoshpur, Kolkata",Kolkata,Santoshpur,3,8000000,,1460.0,5479.0,Unfurnished,buy
"2 BHK Flat for Sale in Sureka Elita Garden Vista, Sureka Elita Garden Vista, New Town, Kolkata",Kolkata,New Town,2,9800000,,1345.0,7286.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Natural Quest, Natural Quest, Survey Park, Kolkata",Kolkata,Survey Park,3,18000000,,1561.0,11531.0,Unfurnished,buy
"4 BHK Flat for Sale in Ruchi Angelica Towers at Active Acres, Ruchi Angelica Towers at Active Acres, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,4,24000000,,2621.0,9157.0,Unfurnished,buy
"3 BHK Flat for Sale in DTC Capital City, DTC Capital City, Rajarhat, Kolkata",Kolkata,Rajarhat,3,6000000,,1030.0,5825.0,Unfurnished,buy
"3 BHK Flat for Sale in Srijan The Royal Ganges, Srijan The Royal Ganges, Maheshtala, Kolkata",Kolkata,Maheshtala,3,8800000,,1454.0,6052.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Krishna Paradise, Krishna Paradise, Kestopur, Kolkata",Kolkata,Kestopur,2,5730000,,1146.0,5000.0,Unfurnished,buy
"3 BHK Flat for Sale in Eden City Maheshtala, Eden City Maheshtala, Maheshtala, Kolkata",Kolkata,Maheshtala,3,5500000,,1377.0,3994.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Baranagar Bazar, Kolkata",Kolkata,Baranagar Bazar,2,3550000,,563.0,6306.0,Furnished,buy
"4 BHK Flat for Sale in Greenfield City Classic Premium, Greenfield City Classic Premium, Behala, Kolkata",Kolkata,Behala,4,6500000,,1358.0,4786.0,Unfurnished,buy
"2 BHK Flat for Sale in Panchsheel Vatika, Panchsheel Vatika, Birati, Kolkata",Kolkata,Birati,2,5000000,,840.0,5952.0,Unfurnished,buy
"3 BHK Flat for Sale in Uniworld City, Uniworld City, Action Area 3, Kolkata",Kolkata,Action Area 3,3,14000000,,1628.0,8600.0,Furnished,buy
3 BHK Flat for Sale in Kolkata,Kolkata,Sudhakarpur,3,7500000,,1240.0,6048.0,Unfurnished,buy
