property_price_lakhs,chosen_tax_regime,monthly_emi,effective_monthly_emi,final_buying_wealth_crore,final_renting_wealth_crore,decision
50.0,DYNAMIC,33483.0,33483.0,1.67,0.78,BUY
58.0,DYNAMIC,38840.0,38840.0,1.94,3.12,RENT
42.0,DYNAMIC,28125.0,28125.0,1.4,1.0,BUY
40.0,DYNAMIC,26786.0,26786.0,1.34,0.54,BUY
90.0,DYNAMIC,54667.0,54667.0,3.01,4.83,RENT
24.0,DYNAMIC,18081.0,18081.0,0.8,1.3,RENT
25.0,DYNAMIC,18834.0,18834.0,0.83,1.17,RENT
57.0,DYNAMIC,38170.0,38170.0,1.9,2.75,RENT
35.0,DYNAMIC,23438.0,23438.0,1.17,0.84,BUY
75.0,DYNAMIC,50224.0,50224.0,2.5,4.35,RENT
23.5,DYNAMIC,17704.0,17704.0,0.78,1.09,RENT
55.0,DYNAMIC,36831.0,36831.0,1.84,2.28,RENT
77.0,DYNAMIC,48340.0,48340.0,2.57,3.49,RENT
33.0,DYNAMIC,22098.0,22098.0,1.1,1.0,BUY
39.0,DYNAMIC,26116.0,26116.0,1.3,1.35,RENT
28.0,DYNAMIC,21094.0,21094.0,0.94,0.25,BUY
45.0,DYNAMIC,30134.0,30134.0,1.5,2.01,RENT
51.0,DYNAMIC,34152.0,34152.0,1.7,2.64,RENT
45.0,DYNAMIC,30134.0,30134.0,1.5,2.39,RENT
55.0,DYNAMIC,36831.0,36831.0,1.84,2.67,RENT
55.0,DYNAMIC,36831.0,36831.0,1.84,3.04,RENT
385.0,DYNAMIC,54667.0,54667.0,12.86,6.48,BUY
14.5,DYNAMIC,10924.0,10924.0,0.48,0.68,RENT
45.0,DYNAMIC,30134.0,30134.0,1.5,1.46,BUY
53.0,DYNAMIC,35491.0,35491.0,1.77,2.6,RENT
60.0,DYNAMIC,40179.0,40179.0,2.0,3.15,RENT
29.0,DYNAMIC,21847.0,21847.0,0.97,1.28,RENT
34.0,DYNAMIC,22768.0,22768.0,1.14,1.27,RENT
42.0,DYNAMIC,28125.0,28125.0,1.4,1.71,RENT
100.0,DYNAMIC,54667.0,54667.0,3.34,1.68,BUY
68.0,DYNAMIC,45536.0,45536.0,2.27,1.52,BUY
190.0,DYNAMIC,54667.0,54667.0,6.35,3.2,BUY
58.0,DYNAMIC,38840.0,38840.0,1.94,3.25,RENT
57.0,DYNAMIC,38170.0,38170.0,1.9,3.29,RENT
45.0,DYNAMIC,30134.0,30134.0,1.5,1.51,RENT
105.0,DYNAMIC,54667.0,54667.0,3.51,4.57,RENT
150.0,DYNAMIC,54667.0,54667.0,5.01,5.39,RENT
31.0,DYNAMIC,20759.0,20759.0,1.04,0.65,BUY
110.0,DYNAMIC,54667.0,54667.0,3.67,1.85,BUY
145.0,DYNAMIC,54667.0,54667.0,4.84,4.69,BUY
120.0,DYNAMIC,54667.0,54667.0,4.01,5.79,RENT
200.0,DYNAMIC,54667.0,54667.0,6.68,4.3,BUY
107.0,DYNAMIC,54667.0,54667.0,3.57,4.63,RENT
160.0,DYNAMIC,54667.0,54667.0,5.34,3.1,BUY
275.0,DYNAMIC,54667.0,54667.0,9.18,4.63,BUY
45.0,DYNAMIC,30134.0,30134.0,1.5,0.74,BUY
42.0,DYNAMIC,28125.0,28125.0,1.4,1.28,BUY
85.0,DYNAMIC,53363.0,53363.0,2.84,3.73,RENT
36.0,DYNAMIC,24107.0,24107.0,1.2,1.96,RENT
16.0,DYNAMIC,12054.0,12054.0,0.53,0.11,BUY
145.0,DYNAMIC,54667.0,54667.0,4.84,5.42,RENT
155.0,DYNAMIC,54667.0,54667.0,5.18,4.8,BUY
28.0,DYNAMIC,21094.0,21094.0,0.94,0.6,BUY
43.0,DYNAMIC,28795.0,28795.0,1.44,2.05,RENT
79.5,DYNAMIC,49910.0,49910.0,2.66,2.1,BUY
130.0,DYNAMIC,54667.0,54667.0,4.34,3.64,BUY
65.0,DYNAMIC,43527.0,43527.0,2.17,3.55,RENT
150.0,DYNAMIC,54667.0,54667.0,5.01,4.64,BUY
