Name,Address,Bedrooms,Price,Rent,Area,Furnishing,property_price,property_price_lakhs,initial_monthly_rent,down_payment_pct,down_payment,loan_amount,monthly_emi,effective_monthly_emi,chosen_tax_regime,total_tax_paid,total_tax_old,total_tax_new,final_property_value,final_buying_wealth,final_renting_wealth,decision
"3 BHK Apartment for Sale in ANANDI VISTA, Rajarhat Kolkata",rajarhat,3,6610000.0,38475,1539.0,Unfurnished,6610000.0,66.1,38475,0.2,1322000.0,5288000.0,44264.0,44264.0,DYNAMIC,9579718.0,12195066.0,9579718.0,25578614.0,22075314.0,15160608.0,BUY
"3 BHK Apartment for Sale in Bhawani Inara, Action Area 2 Kolkata",action area 2,3,15800000.0,37930,1550.0,Unfurnished,15800000.0,158.0,37930,0.25,3950000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,61141015.0,52767015.0,44692238.0,BUY
"2 BHK Apartment for Sale in Bhawani Bandhan, Madhyamgram Kolkata",madhyamgram,2,5100000.0,8824,560.0,Unfurnished,5100000.0,51.0,8824,0.2,1020000.0,4080000.0,34152.0,34152.0,DYNAMIC,9579718.0,12308756.0,9579718.0,19735391.0,17032391.0,30672560.0,RENT
"4 BHK Apartment for Sale in PS Vaanya, Action Area 2 Kolkata",action area 2,4,36200000.0,48183,1969.0,Unfurnished,36200000.0,362.0,48183,0.25,9050000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,140082578.0,120896578.0,67902898.0,BUY
"3 BHK Apartment for Sale in Godrej Elevate at Godrej Seven, Joka Kolkata",joka,3,8500000.0,19657,973.0,Unfurnished,8500000.0,85.0,19657,0.25,2125000.0,6375000.0,53363.0,53363.0,DYNAMIC,9579718.0,12140323.0,9579718.0,32892318.0,28387318.0,48099069.0,RENT
"3 BHK Apartment for Sale in Siddha Sky, Eastern Metropolitan Bypass Kolkata",em bypass,3,21000000.0,58824,1992.0,Unfurnished,21000000.0,210.0,58824,0.25,5250000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,81263374.0,70133374.0,35319375.0,BUY
"2 BHK Apartment for Sale in Merlin Lakescape, New Town Kolkata",new town,2,7600000.0,18340,677.0,Unfurnished,7600000.0,76.0,18340,0.25,1900000.0,5700000.0,47713.0,47713.0,DYNAMIC,9579718.0,12170004.0,9579718.0,29409602.0,25381602.0,42489633.0,RENT
3 BHK Apartment for Sale in Santoshpur Kolkata,santoshpur,3,8000000.0,26579,1460.0,Unfurnished,8000000.0,80.0,26579,0.25,2000000.0,6000000.0,50224.0,50224.0,DYNAMIC,9579718.0,12155761.0,9579718.0,30957476.0,26717476.0,38752774.0,RENT
2 BHK Apartment for Sale in Action Area 2 Kolkata,action area 2,2,5500000.0,20556,840.0,Unfurnished,5500000.0,55.0,20556,0.2,1100000.0,4400000.0,36831.0,36831.0,DYNAMIC,9579718.0,12270179.0,9579718.0,21283265.0,18368265.0,24924402.0,RENT
"3 BHK Apartment for Sale in Ambuja Ujjwala The Condoville, New Town Kolkata",new town,3,16500000.0,40906,1510.0,Unfurnished,16500000.0,165.0,40906,0.25,4125000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,63849794.0,55104794.0,42647822.0,BUY
