Name,Address,Bedrooms,Price,Rent,Area,Furnishing,Type,Match_Type,Price_Per_Sqft,Rent_Per_Sqft
"3 BHK House for Sale in Chak Thakurani, Thakurpukur Kolkata",chak thakurani,3,2700000,19048,800.0,Unfurnished,buy,bedroom_only,3375.0,23.81
"Maa Apartment, Maa Apartment, Postal Park, Kolkata",postal park,2,5000000,22500,1050.0,Semi-Furnished,buy,bedroom_only,4761.9,21.43
"Prantika Garia, Kolkata",prantik,2,3000000,11786,550.0,Semi-Furnished,buy,bedroom_only,5454.55,21.43
"Prudent Prana, Prudent Prana, Garia, Kolkata",garia,2,2700000,9000,650.0,Unfurnished,buy,exact_match,4153.85,13.85
"5 BHK House for Sale in Panchasayar, Garia Kolkata",panchasayar,5,25000000,98214,2000.0,Furnished,buy,bedroom_only,12500.0,49.11
6 BHK House for Sale in Gostatala New Scheme Road Kolkata,gostatala new scheme road,6,31000000,169762,3100.0,Semi-Furnished,buy,bedroom_only,10000.0,54.76
"New Alipore, Kolkata",new alipore,2,7700000,27564,1053.0,Semi-Furnished,buy,address_bedroom,7312.44,26.18
"Bardhanpalli, Joka, Kolkata",bardhanpalli,2,2240000,15493,723.0,Unfurnished,buy,bedroom_only,3098.2,21.43
"Merlin Elements, Merlin Elements, New Alipore, Kolkata",new alipore,3,24000000,45000,1750.0,Semi-Furnished,buy,exact_match,13714.29,25.71
"Block F New Alipore, Kolkata",block f new alipore,2,7500000,24000,1120.0,Semi-Furnished,buy,bedroom_only,6696.43,21.43
"Uttarpara Chinsurah, Kolkata",uttarpara,3,3200000,9065,820.0,Semi-Furnished,buy,address_only,3902.44,11.05
"Hiland Riverfront, Hiland Riverfront, Maheshtala, Kolkata",maheshtala,5,11000000,79300,3172.0,Unfurnished,buy,address_only,3467.84,25.0
"Devaloke Nest, Devaloke Nest, Ramchandrapur Narendrapur, Kolkata",ramchandrapur,2,3700000,19714,920.0,Semi-Furnished,buy,bedroom_only,4021.74,21.43
"Alipore, Kolkata",alipore,3,19000000,95700,1276.0,Semi-Furnished,buy,address_bedroom,14890.28,75.0
"Tollygunge Karunamoyee, Kolkata",tollygunge karunamoyee,3,15500000,35651,1468.0,Furnished,buy,address_only,10558.58,24.29
"Su Casa Unique, Su Casa Unique, Narendrapur Rajpur Sonarpur, Kolkata",narendrapur,3,4500000,18000,715.0,Furnished,buy,exact_match,6293.71,25.17
"Sapphire Garden, Sapphire Garden, Rajarhat, Kolkata",rajarhat,2,3200000,13500,888.0,Unfurnished,buy,exact_match,3603.6,15.2
"Eden City Maheshtala, Eden City Maheshtala, Maheshtala, Kolkata",maheshtala,3,4400000,34726,1337.0,Semi-Furnished,buy,address_bedroom,3290.95,25.97
"Vedic Smart Homes, Vedic Smart Homes, Rajarhat, Kolkata",rajarhat,3,5000000,35000,1300.0,Unfurnished,buy,exact_match,3846.15,26.92
"Nabapally Barasat, Kolkata",nabapally barasat,2,3200000,16393,765.0,Semi-Furnished,buy,bedroom_only,4183.01,21.43
"Fortune City, Fortune City, Madhyamgram, Kolkata",madhyamgram,3,3900000,25000,1176.0,Semi-Furnished,buy,exact_match,3316.33,21.26
"Greenwood Sonata, Greenwood Sonata, Action Area 2, Kolkata",action area 2,2,6700000,30750,766.0,Unfurnished,buy,exact_match,8746.74,40.14
"DTC Southern Heights, DTC Southern Heights, Joka, Kolkata",joka,3,8200000,24000,1370.0,Unfurnished,buy,exact_match,5985.4,17.52
"Surya Tower, Surya Tower, Behala, Kolkata",behala,2,3400000,16352,806.0,Semi-Furnished,buy,address_bedroom,4218.36,20.29
"Bengal Peerless Avidipta Phase 2, Bengal Peerless Avidipta Phase 2, Eastern Metropolitan Bypass, Kolkata",em bypass,4,54000000,120000,3500.0,Unfurnished,buy,exact_match,15428.57,34.29
4 BHK House for Sale in Ballygunge Kolkata,ballygunge,4,13500000,150000,2000.0,Semi-Furnished,buy,exact_match,6750.0,75.0
"5 BHK House for Sale in Baishnabghata Patuli Township, Patuli Kolkata",baishnabghata patuli township,5,32500000,33110,1650.0,Unfurnished,buy,address_only,19696.97,20.07
"Delux Complex, Delux Complex, Birati, Kolkata",birati,2,2500000,10000,700.0,Semi-Furnished,buy,exact_match,3571.43,14.29
"Swan Court, Swan Court, New Town, Kolkata",new town,3,14000000,30000,1461.0,Semi-Furnished,buy,exact_match,9582.48,20.53
"Mayukh Apartment, Mayukh Apartment, Garia, Kolkata",garia,3,6500000,26000,1200.0,Unfurnished,buy,exact_match,5416.67,21.67
"Garia Main Road, Kolkata",garia main road,2,3000000,16074,750.0,Semi-Furnished,buy,address_only,4000.0,21.43
"Tollygunge, Kolkata",tollygunge,2,5000000,20000,1050.0,Semi-Furnished,buy,exact_match,4761.9,19.05
"Thakurpukur, Kolkata",thakurpukur,3,5500000,21991,1237.0,Semi-Furnished,buy,address_only,4446.24,17.78
"Behala, Kolkata",behala,1,1450000,5000,288.0,Semi-Furnished,buy,exact_match,5034.72,17.36
"Shriram Grand One, Shriram Grand One, Uttarpara Chinsurah, Kolkata",uttarpara,2,4000000,16000,827.0,Semi-Furnished,buy,exact_match,4836.76,19.35
"Swastik Apartment, Swastik Apartment, Haridevpur, Paschim Putiary, Kolkata",haridevpur,3,4500000,20057,1318.0,Furnished,buy,address_only,3414.26,15.22
"Eden City Maheshtala, Eden City Maheshtala, Maheshtala, Kolkata",maheshtala,3,3700000,32103,1236.0,Semi-Furnished,buy,address_bedroom,2993.53,25.97
"Lake View Housing Complex, Lake View Housing Complex, Howrah, Kolkata",howrah,3,8000000,23392,1032.0,Furnished,buy,address_bedroom,7751.94,22.67
"Madhyamgram, Kolkata",madhyamgram,2,3200000,9455,600.0,Semi-Furnished,buy,address_bedroom,5333.33,15.76
"Kotrung, Uttarpara Kotrung, Kolkata",kotrung,4,4000000,69530,1694.0,Semi-Furnished,buy,bedroom_only,2361.28,41.04
"Dum Dum, Kolkata",dum dum,1,2400000,7821,438.0,Semi-Furnished,buy,address_bedroom,5479.45,17.86
"New Alipore, Kolkata",new alipore,3,5500000,38223,850.0,Unfurnished,buy,address_bedroom,6470.59,44.97
"Chetla, Kolkata",chetla,2,5700000,21661,732.0,Furnished,buy,address_bedroom,7786.89,29.59
"Naktala, Garia, Kolkata",naktala,2,4500000,16000,601.0,Furnished,buy,exact_match,7487.52,26.62
