Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing
"3 BHK Apartment for Sale in Bhawani Inara, Action Area 2 Kolkata",Kolkata,"Action Area 2, Kolkata",3,1.58 Cr,N/A,1550,10194,Unfurnished
"3 BHK Apartment for Sale in Anudip Grandeur, Kasba Kolkata",Kolkata,N/A,3,1.41 Cr,N/A,1175,N/A,Unfurnished
"2 BHK Apartment for Sale in Bhawani Bandhan, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,51 Lac,N/A,560,9107,Unfurnished
"4 BHK Apartment for Sale in PS Vaanya, Action Area 2 Kolkata",Kolkata,"Action Area 2, Kolkata",4,3.62 Cr,N/A,1969,18385,Unfurnished
"3 BHK Apartment for Sale in Godrej Elevate at Godrej Seven, Joka Kolkata",Kolkata,"Joka, Kolkata",3,85 Lac,N/A,973,8736,Unfurnished
"3 BHK Apartment for Sale in Siddha Sky, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,2.10 Cr,N/A,1992,10542,Unfurnished
"2 BHK Apartment for Sale in Uniworld City, Action Area 3 Kolkata",Kolkata,N/A,2,75 Lac,N/A,1100,N/A,Unfurnished
"2 BHK Apartment for Sale in Merlin Lakescape, New Town Kolkata",Kolkata,"New Town, Kolkata",2,76 Lac,N/A,677,11226,Unfurnished
3 BHK Apartment for Sale in Santoshpur Kolkata,Kolkata,"Santoshpur, Kolkata",3,80 Lac,N/A,1460,5479,Unfurnished
2 BHK Apartment for Sale in Action Area 2 Kolkata,Kolkata,"Action Area 2, Kolkata",2,55 Lac,N/A,840,6547,Unfurnished
"3 BHK Apartment for Sale in Ambuja Ujjwala The Condoville, New Town Kolkata",Kolkata,"New Town, Kolkata",3,1.65 Cr,N/A,1510,10927,Unfurnished
"3 BHK Apartment for Sale in Natural Quest, Survey Park Kolkata",Kolkata,"Survey Park, Kolkata",3,1.80 Cr,N/A,1561,11531,Unfurnished
"4 BHK Apartment for Sale in Project Southern Avenue, Southern Avenue Kolkata",Kolkata,"Southern Avenue, Kolkata",4,3.08 Cr,N/A,1800,17111,Unfurnished
"2 BHK Apartment for Sale in DTC Rajarhat, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,50 Lac,N/A,682,7331,Unfurnished
3 BHK Apartment for Sale in Ballygunge Kolkata,Kolkata,"Ballygunge, Kolkata",3,2.90 Cr,N/A,1700,17059,Unfurnished
"1 BHK Apartment for Sale in Krishna Kamdhenu, Kestopur Kolkata",Kolkata,"Kestopur, Kolkata",1,27.7 Lac,N/A,553,5000,Unfurnished
"3 BHK Apartment for Sale in Uniworld City, Action Area 3 Kolkata",Kolkata,"Action Area 3, Kolkata",3,1.40 Cr,N/A,1628,8600,Furnished
"3 BHK Apartment for Sale in Eden City Maheshtala, Maheshtala Kolkata",Kolkata,"Maheshtala, Kolkata",3,55 Lac,N/A,1377,3994,Semi-Furnished
"2 BHK Apartment for Sale in Merlin Oikyo, Baruipur Kolkata",Kolkata,"Baruipur, Kolkata",2,27 Lac,N/A,502,5378,Furnished
4 BHK Builder Floor for Sale in Phool Bagan Kankurgachi Kolkata,Kolkata,"Phool Bagan, Kolkata",4,1.30 Cr,N/A,1440,9028,Semi-Furnished
"2 BHK Apartment for Sale in Eden Richmond Enclave, Narendrapur Rajpur Sonarpur Kolkata",Kolkata,"Narendrapur, Kolkata",2,35 Lac,N/A,809,4326,Semi-Furnished
"4 BHK Apartment for Sale in Greenfield City Classic Premium, Behala Kolkata",Kolkata,"Behala, Kolkata",4,65 Lac,N/A,1358,4786,Unfurnished
"2 BHK Apartment for Sale in Srijan Realty and Primarc Group and Riya Group Southwinds, Rajpur Kolkata",Kolkata,"Rajpur, Kolkata",2,70 Lac,N/A,643,10886,Semi-Furnished
"3 BHK Apartment for Sale in Sudhakarpur, Kolkata Kolkata",Kolkata,"Sudhakarpur, Kolkata, Kolkata",3,75 Lac,N/A,1240,6048,Unfurnished
1 BHK Apartment for Sale in Agarpara Kolkata,Kolkata,"Agarpara, Kolkata",1,11 Lac,N/A,380,2895,Semi-Furnished
"3 BHK Apartment for Sale in Dashdrone, Chinar Park, Rajarhat Kolkata",Kolkata,N/A,3,92 Lac,N/A,925,N/A,Unfurnished
"3 BHK Apartment for Sale in Ascon Era, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,92 Lac,N/A,1210,7603,Unfurnished
2 BHK Apartment for Sale in Carry Road Kolkata,Kolkata,"Carry Road, Kolkata",2,27 Lac,N/A,716,3771,Semi-Furnished
2 BHK Apartment for Sale in Rampur Kolkata,Kolkata,"Rampur, Kolkata",2,40 Lac,N/A,1038,3854,Semi-Furnished
2 BHK Apartment for Sale in 2 No Government Colony Kolkata,Kolkata,"2 No Government Colony, Kolkata",2,20 Lac,N/A,598,3344,Semi-Furnished
2 BHK Apartment for Sale in Ichapur Howrah Kolkata,Kolkata,"Ichapur Howrah, Kolkata",2,30 Lac,N/A,750,4000,Unfurnished
"2 BHK Apartment for Sale in Mahamaya Apartment, Garia Kolkata",Kolkata,"Garia, Kolkata",2,31.5 Lac,N/A,755,4172,Furnished
"1 BHK Apartment for Sale in Akashdeep, Barrackpore Kolkata",Kolkata,"Barrackpore, Kolkata",1,28 Lac,N/A,633,4423,Semi-Furnished
"1 BHK Apartment for Sale in Shriram Sunshine 2, Uttar Para Kolkata",Kolkata,"Uttar Para, Kolkata",1,22 Lac,N/A,306,7190,Unfurnished
"3 BHK Apartment for Sale in Eden City Maheshtala, Maheshtala Kolkata",Kolkata,"Maheshtala, Kolkata",3,65 Lac,N/A,950,6842,Unfurnished
2 BHK Builder Floor for Sale in Nayabad Kolkata,Kolkata,"Nayabad, Kolkata",2,39.2 Lac,N/A,920,4255,Unfurnished
3 BHK Villa for Sale in Joka Kolkata,Kolkata,"Joka, Kolkata",3,73.5 Lac,N/A,1400,5250,Semi-Furnished
3 BHK Apartment for Sale in Alipore Kolkata,Kolkata,"Alipore, Kolkata",3,3.30 Cr,N/A,1920,17188,Unfurnished
"2 BHK Apartment for Sale in Naktala, Garia Kolkata",Kolkata,"Naktala, Kolkata",2,45 Lac,N/A,601,7488,Furnished
2 BHK Apartment for Sale in Nabapally Barasat Kolkata,Kolkata,"Nabapally Barasat, Kolkata",2,32 Lac,N/A,765,4183,Semi-Furnished
"3 BHK Apartment for Sale in Eden City Maheshtala, Maheshtala Kolkata",Kolkata,"Maheshtala, Kolkata",3,37 Lac,N/A,1236,2994,Semi-Furnished
2 BHK House for Sale in North 24 Parganas Kolkata,Kolkata,"Prafullanagar, Kolkata",2,50 Lac,N/A,1200,4167,Unfurnished
"2 BHK Apartment for Sale in Panchsheel Vatika, Birati Kolkata",Kolkata,"Birati, Kolkata",2,50 Lac,N/A,840,5952,Unfurnished
"4 BHK Apartment for Sale in Ruchi Angelica Towers at Active Acres, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",4,2.30 Cr,N/A,2621,8775,Unfurnished
"3 BHK Apartment for Sale in Shriram Grand City, Uttarpara Chinsurah Kolkata",Kolkata,"Uttarpara, Kolkata",3,70 Lac,N/A,1260,5555,Unfurnished
"4 BHK Apartment for Sale in Unimark Trump Tower, Science City Area Kolkata",Kolkata,"Science City, Kolkata",4,7.10 Cr,N/A,2286,31067,Unfurnished
"2 BHK Apartment for Sale in Shristi Apartment, Barrackpore Kolkata",Kolkata,"Barrackpore, Kolkata",2,39 Lac,N/A,810,4815,Semi-Furnished
"2 BHK Apartment for Sale in Utsa Complex, New Town Kolkata",Kolkata,"New Town, Kolkata",2,49 Lac,N/A,670,7313,Semi-Furnished
3 BHK Apartment for Sale in Dhakuria Kolkata,Kolkata,"Dhakuria, Kolkata",3,70 Lac,N/A,1000,7000,Unfurnished
"2 BHK Apartment for Sale in Eden Flora, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",2,46 Lac,N/A,903,5094,Unfurnished
"3 BHK Apartment for Sale in Saltee Splendora, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,95 Lac,N/A,1613,5889,Semi-Furnished
1 BHK Apartment for Sale in Garia Kolkata,Kolkata,N/A,1,28 Lac,N/A,350,N/A,Furnished
"2 BHK Apartment for Sale in Eden Tolly Lakeside, Kabardanga Kolkata",Kolkata,"Kabardanga, Kolkata",2,40 Lac,N/A,730,5479,Semi-Furnished
"3 BHK Apartment for Sale in Uniworld City, Uniworld City, Rajarhat Newtown Kolkata",Kolkata,"Uniworld City, Kolkata",3,1.90 Cr,N/A,1870,10160,Furnished
2 BHK Apartment for Sale in Jadavpur Kolkata,Kolkata,"Jadavpur, Kolkata",2,48.1 Lac,N/A,534,8998,Unfurnished
